id_fechaExamen;fechaExamen;id_turno;id_materia;createdAt;updatedAt
1;2024-04-17 08:00:00;1;225;2024-04-17 08:00:00;2024-04-17 08:00:00
2;2024-04-17 08:00:00;1;235;2024-04-17 08:00:00;2024-04-17 08:00:00
3;2024-04-18 08:00:00;1;258;2024-04-18 08:00:00;2024-04-18 08:00:00
4;2024-04-18 08:00:00;1;272;2024-04-18 08:00:00;2024-04-18 08:00:00
5;2024-04-19 08:00:00;1;221;2024-04-19 08:00:00;2024-04-19 08:00:00
6;2024-04-19 08:00:00;1;232;2024-04-19 08:00:00;2024-04-19 08:00:00
7;2024-04-19 08:00:00;1;281;2024-04-19 08:00:00;2024-04-19 08:00:00
8;2024-04-19 08:00:00;1;207;2024-04-19 08:00:00;2024-04-19 08:00:00
9;2024-04-22 13:00:00;1;223;2024-04-22 13:00:00;2024-04-22 13:00:00
10;2024-04-29 13:00:00;1;233;2024-04-29 13:00:00;2024-04-29 13:00:00
11;2024-04-22 13:00:00;1;237;2024-04-22 13:00:00;2024-04-22 13:00:00
12;2024-04-22 13:00:00;1;243;2024-04-22 13:00:00;2024-04-22 13:00:00
13;2024-04-29 13:00:00;1;244;2024-04-29 13:00:00;2024-04-29 13:00:00
14;2024-04-23 08:00:00;1;220;2024-04-23 08:00:00;2024-04-23 08:00:00
15;2024-04-23 08:00:00;1;230;2024-04-23 08:00:00;2024-04-23 08:00:00
16;2024-04-23 08:00:00;1;240;2024-04-23 08:00:00;2024-04-23 08:00:00
17;2024-04-23 08:00:00;1;265;2024-04-23 08:00:00;2024-04-23 08:00:00
18;2024-04-24 13:00:00;1;224;2024-04-24 13:00:00;2024-04-24 13:00:00
19;2024-04-24 13:00:00;1;234;2024-04-24 13:00:00;2024-04-24 13:00:00
20;2024-04-24 13:00:00;1;256;2024-04-24 13:00:00;2024-04-24 13:00:00
21;2024-04-24 13:00:00;1;187;2024-04-24 13:00:00;2024-04-24 13:00:00
22;2024-04-29 13:00:00;1;219;2024-04-29 13:00:00;2024-04-29 13:00:00
23;2024-04-29 13:00:00;1;229;2024-04-29 13:00:00;2024-04-29 13:00:00
24;2024-04-29 13:00:00;1;155;2024-04-29 13:00:00;2024-04-29 13:00:00
25;2024-04-29 13:00:00;1;239;2024-04-29 13:00:00;2024-04-29 13:00:00
26;2024-04-29 13:00:00;1;279;2024-04-29 13:00:00;2024-04-29 13:00:00
27;2024-04-29 13:00:00;1;260;2024-04-29 13:00:00;2024-04-29 13:00:00
28;2024-04-29 13:00:00;1;259;2024-04-29 13:00:00;2024-04-29 13:00:00
29;2024-04-29 13:00:00;1;273;2024-04-29 13:00:00;2024-04-29 13:00:00
30;2024-04-29 13:00:00;1;285;2024-04-29 13:00:00;2024-04-29 13:00:00
31;2024-04-29 13:00:00;1;289;2024-04-29 13:00:00;2024-04-29 13:00:00
32;2024-04-29 13:00:00;1;287;2024-04-29 13:00:00;2024-04-29 13:00:00
33;2024-04-29 13:00:00;1;286;2024-04-29 13:00:00;2024-04-29 13:00:00
34;2024-04-29 13:00:00;1;288;2024-04-29 13:00:00;2024-04-29 13:00:00
35;2024-04-29 13:00:00;1;290;2024-04-29 13:00:00;2024-04-29 13:00:00
36;2024-07-01 08:00:00;2;221;2024-07-01 08:00:00;2024-07-01 08:00:00
37;2024-07-01 08:00:00;2;220;2024-07-01 08:00:00;2024-07-01 08:00:00
38;2024-07-01 08:00:00;2;232;2024-07-01 08:00:00;2024-07-01 08:00:00
39;2024-07-01 08:00:00;2;230;2024-07-01 08:00:00;2024-07-01 08:00:00
40;2024-07-01 08:00:00;2;249;2024-07-01 08:00:00;2024-07-01 08:00:00
41;2024-07-01 08:00:00;2;240;2024-07-01 08:00:00;2024-07-01 08:00:00
42;2024-07-01 08:00:00;2;253;2024-07-01 08:00:00;2024-07-01 08:00:00
43;2024-07-01 08:00:00;2;252;2024-07-01 08:00:00;2024-07-01 08:00:00
44;2024-07-01 08:00:00;2;272;2024-07-01 08:00:00;2024-07-01 08:00:00
45;2024-07-01 08:00:00;2;265;2024-07-01 08:00:00;2024-07-01 08:00:00
46;2024-07-01 08:00:00;2;291;2024-07-01 08:00:00;2024-07-01 08:00:00
47;2024-07-01 08:00:00;2;280;2024-07-01 08:00:00;2024-07-01 08:00:00
48;2024-07-01 08:00:00;2;281;2024-07-01 08:00:00;2024-07-01 08:00:00
49;2024-07-01 13:00:00;2;237;2024-07-01 13:00:00;2024-07-01 13:00:00
50;2024-07-01 13:00:00;2;244;2024-07-01 13:00:00;2024-07-01 13:00:00
51;2024-07-02 13:00:00;2;274;2024-07-02 13:00:00;2024-07-02 13:00:00
52;2024-07-02 13:00:00;2;275;2024-07-02 13:00:00;2024-07-02 13:00:00
53;2024-07-01 13:00:00;2;292;2024-07-01 13:00:00;2024-07-01 13:00:00
54;2024-07-02 08:00:00;2;225;2024-07-02 08:00:00;2024-07-02 08:00:00
55;2024-07-02 08:00:00;2;219;2024-07-02 08:00:00;2024-07-02 08:00:00
56;2024-07-02 08:00:00;2;235;2024-07-02 08:00:00;2024-07-02 08:00:00
57;2024-07-02 08:00:00;2;234;2024-07-02 08:00:00;2024-07-02 08:00:00
58;2024-07-02 08:00:00;2;229;2024-07-02 08:00:00;2024-07-02 08:00:00
59;2024-07-02 08:00:00;2;245;2024-07-02 08:00:00;2024-07-02 08:00:00
60;2024-07-02 08:00:00;2;239;2024-07-02 08:00:00;2024-07-02 08:00:00
61;2024-07-02 08:00:00;2;251;2024-07-02 08:00:00;2024-07-02 08:00:00
62;2024-07-02 08:00:00;2;263;2024-07-02 08:00:00;2024-07-02 08:00:00
63;2024-07-02 08:00:00;2;279;2024-07-02 08:00:00;2024-07-02 08:00:00
64;2024-07-02 13:00:00;2;260;2024-07-02 13:00:00;2024-07-02 13:00:00
65;2024-07-02 13:00:00;2;259;2024-07-02 13:00:00;2024-07-02 13:00:00
66;2024-07-02 13:00:00;2;277;2024-07-02 13:00:00;2024-07-02 13:00:00
67;2024-07-02 13:00:00;2;273;2024-07-02 13:00:00;2024-07-02 13:00:00
68;2024-07-02 13:00:00;2;285;2024-07-02 13:00:00;2024-07-02 13:00:00
69;2024-07-02 13:00:00;2;286;2024-07-02 13:00:00;2024-07-02 13:00:00
70;2024-07-02 13:00:00;2;288;2024-07-02 13:00:00;2024-07-02 13:00:00
71;2024-07-02 13:00:00;2;290;2024-07-02 13:00:00;2024-07-02 13:00:00
